sig_f2	batch_f2	n_per_cohort	n_cohorts	n_total	method	n_reps	mean_auc	std_auc	r2_resp_diag	r2_batch_diag	ceiling_auc	delta_auc
0.007	0.04	40	2	80	location_scale	10	0.5221875	0.07547311710967025	0.01218	0.02497	0.55125	-0.02906249999999999
0.007	0.04	40	2	80	quantile_mapping	10	0.4909375000000001	0.08721437757761047	0.01154	0.02532	0.55125	-0.060312499999999936
0.007	0.04	40	2	80	percentile_norm	10	0.5053124999999999	0.08382983601469109	0.00891	0.03123	0.55125	-0.045937500000000075
0.007	0.04	40	2	80	cohort_covariate	10	0.4887499999999999	0.07405920351313534	0.00902	0.02853	0.55125	-0.06250000000000011
0.007	0.04	40	3	120	none	10	0.5438888888888889	0.049753249164945335	0.00922	0.03983	0.55125	-0.007361111111111152
0.007	0.04	40	3	120	mean_centering	10	0.508888888888889	0.05073989591078244	0.00976	0.03793	0.55125	-0.04236111111111107
0.007	0.04	40	3	120	location_scale	10	0.5387500000000001	0.07192634371183541	0.00902	0.04709	0.55125	-0.012499999999999956
0.007	0.04	40	3	120	quantile_mapping	10	0.48694444444444446	0.051871606686576754	0.00766	0.04413	0.55125	-0.06430555555555556
0.007	0.04	40	3	120	percentile_norm	10	0.5044444444444444	0.07040940681401342	0.00926	0.04021	0.55125	-0.046805555555555656
0.007	0.04	40	3	120	cohort_covariate	10	0.5066666666666667	0.09640489780601219	0.01187	0.03931	0.55125	-0.04458333333333331
0.007	0.04	40	4	160	none	10	0.4716406249999999	0.060177603758712624	0.00355	0.05027	0.55125	-0.0796093750000001
0.007	0.04	40	4	160	mean_centering	10	0.5075	0.05545796550090889	0.00685	0.0427	0.55125	-0.04375000000000007
0.007	0.04	40	4	160	location_scale	10	0.5174218749999999	0.06943818385408078	0.0097	0.04592	0.55125	-0.0338281250000001
0.007	0.04	40	4	160	quantile_mapping	10	0.5005468750000001	0.0573035558213068	0.00316	0.04863	0.55125	-0.05070312499999996
0.007	0.04	40	4	160	percentile_norm	10	0.515859375	0.04867137339227881	0.00685	0.0445	0.55125	-0.03539062500000001
0.007	0.04	40	4	160	cohort_covariate	10	0.47390625000000003	0.04637388391514128	0.00704	0.04387	0.55125	-0.07734374999999999
0.007	0.04	80	1	80	none	10	0.4340625	0.09010031301971153	0.01907	0.0	0.4546875000000001	-0.02062500000000006
0.007	0.04	80	1	80	mean_centering	10	0.5193749999999999	0.07591627789874843	0.01086	0.0	0.4546875000000001	0.06468749999999984
0.007	0.04	80	1	80	location_scale	10	0.5328125	0.08173234232083404	0.0124	0.0	0.4546875000000001	0.07812499999999994
0.007	0.04	80	1	80	quantile_mapping	10	0.4749999999999999	0.0779498035597268	0.01009	0.0	0.4546875000000001	0.020312499999999845
0.007	0.04	80	1	80	percentile_norm	10	0.5428124999999999	0.06393737781024492	0.01337	0.0	0.4546875000000001	0.08812499999999984
0.007	0.04	80	1	80	cohort_covariate	10	0.4625	0.06705291753533174	0.00926	0.0	0.4546875000000001	0.0078124999999999445
0.007	0.04	80	2	160	none	10	0.49984375	0.06958723167722654	0.00822	0.0187	0.4546875000000001	0.0451562499999999
0.007	0.04	80	2	160	mean_centering	10	0.494765625	0.05133478362441615	0.00568	0.01926	0.4546875000000001	0.04007812499999991
0.007	0.04	80	2	160	location_scale	10	0.48335937500000004	0.0510976322110734	0.00637	0.02219	0.4546875000000001	0.028671874999999958
0.007	0.04	80	2	160	quantile_mapping	10	0.47164062500000004	0.0711143943240616	0.00561	0.01728	0.4546875000000001	0.016953124999999958
0.007	0.04	80	2	160	percentile_norm	10	0.510625	0.03414196579174961	0.00638	0.02128	0.4546875000000001	0.05593749999999992
0.007	0.04	80	2	160	cohort_covariate	10	0.483203125	0.05850853177969539	0.00602	0.01771	0.4546875000000001	0.028515624999999933
0.007	0.04	80	3	240	none	10	0.48986111111111114	0.053139023203640445	0.00239	0.03296	0.4546875000000001	0.03517361111111106
0.007	0.04	80	3	240	mean_centering	10	0.47711805555555564	0.04191921438119301	0.00307	0.0326	0.4546875000000001	0.022430555555555565
0.007	0.04	80	3	240	location_scale	10	0.4763194444444445	0.05927436240551431	0.0083	0.03499	0.4546875000000001	0.02163194444444444
0.007	0.04	80	3	240	quantile_mapping	10	0.4683680555555556	0.056794019220451054	0.0028	0.02976	0.4546875000000001	0.01368055555555553
0.007	0.04	80	3	240	percentile_norm	10	0.49006944444444445	0.04816741957632745	0.00534	0.03363	0.4546875000000001	0.03538194444444437
0.007	0.04	80	3	240	cohort_covariate	10	0.4841666666666667	0.025013595840099666	0.00905	0.03376	0.4546875000000001	0.029479166666666612
0.007	0.04	80	4	320	none	10	0.5048437499999999	0.0600805377847753	0.00335	0.04353	0.4546875000000001	0.05015624999999985
0.007	0.04	80	4	320	mean_centering	10	0.47138671874999993	0.04744713099722852	0.0033	0.03637	0.4546875000000001	0.016699218749999856
0.007	0.04	80	4	320	location_scale	10	0.518671875	0.033908770067638844	0.00225	0.0344	0.4546875000000001	0.06398437499999993
0.007	0.04	80	4	320	quantile_mapping	10	0.5069726562500001	0.034297014031964786	0.00408	0.0347	0.4546875000000001	0.05228515625000002
0.007	0.04	80	4	320	percentile_norm	10	0.49755859375	0.024186636029567197	0.00278	0.03893	0.4546875000000001	0.04287109374999992
0.007	0.04	80	4	320	cohort_covariate	10	0.46552734375	0.05174706919751327	0.00254	0.03622	0.4546875000000001	0.010839843749999911
0.007	0.08	20	1	20	none	10	0.5249999999999999	0.2326478024826368	0.03903	0.0	0.525	-1.1102230246251565e-16
0.007	0.08	20	1	20	mean_centering	10	0.31500000000000006	0.11842719282327012	0.0543	0.0	0.525	-0.20999999999999996
0.007	0.08	20	1	20	location_scale	10	0.51	0.2353720459187964	0.05828	0.0	0.525	-0.015000000000000013
0.007	0.08	20	1	20	quantile_mapping	10	0.485	0.19371370627810516	0.07172	0.0	0.525	-0.040000000000000036
